countrycode,year,ln_tt,dlntt,rgdpna,ln_y,dlny,cpi_index,ln_cpi,d_ln_cpi,ca_gdp,dca_y,dlng,nxr,us_cpi_index,us_ln_cpi,broda_regime,regime_stable,irr_fine,irr_coarse,tot_best,ln_tot_best,dln_tot_best,trade_openness,lys_class,bilateral_rer,ln_bilateral_rer,dln_bilateral_rer,imf_reer,ln_imf_reer,dln_imf_reer,cepii_reer_bar,ln_cepii_reer_bar,dln_cepii_reer_bar,bruegel_reer_170,ln_bruegel_reer_170,dln_rer_bruegel,bruegel_reer_65,ln_bruegel_reer_65,dln_rer_darvas,rer_merged,ln_rer_merged,dln_rer_merged,rer_merged_src,it_adoption_year,it_active,it_ever,mandate_price_stability,mandate_dual_growth,kaopen,ka_open,ewn_debt_liab,ewn_debt_assets,ewn_fx_reserves,ewn_total_liab,ewn_total_assets,ewn_net_iip,ewn_gdp_usd,fx_exposure,net_fx_exposure,net_ext_liab
HUN,1985,4.610255,1.3e-05,190757.359375,12.158757529660658,-0.002533877862838,209.47214307179084,5.34459076189001,0.0671196282190833,-2.115016,-2.298447,,50.1194,277.05514371656415,5.624216561163623,float,True,10.0,3.0,95.036192,4.554258,-0.000195,69.409865,OVM,37.89360481324512,3.6347823594136446,0.074605540313466,,,,61.7520713806152,4.123127519570826,0.0250619758919885,,,,55.2969518654334,4.012717787035048,0.0235011893508056,55.2969518654334,4.012717787035048,0.0235011893508056,darvas65,2001.0,0,1,1,0,,,13867.531542898998,3727.6719219415313,2153.15377855888,13867.531542898998,5880.825700500411,-7986.705842398587,21511.0,0.6446716351122216,0.5445761593761387,0.3712847307144525
HUN,1986,4.615381,0.005127,193685.375,12.17399034318886,0.0152328135282022,220.55670731320305,5.396154837846412,0.0515640759564021,-5.508981,-3.393965,,45.83215,282.31380392768176,5.643019232142901,float,True,10.0,3.0,96.168225,4.566099,0.011841,67.640154,OVM,35.80621263448478,3.5781214156269145,-0.05666094378673,,,,54.3364334106445,3.995194967148613,-0.1279325524222123,,,,50.1679328510197,3.9153760347575184,-0.0973417522775297,50.1679328510197,3.9153760347575184,-0.0973417522775297,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,16800.565158912454,3547.6890932939555,2302.0366959010703,16800.565158912454,5849.725789195026,-10950.839369717429,24778.0,0.6780436338248629,0.5851371564699082,0.4419581632786112
HUN,1987,4.613465,-0.001916,201532.015625,12.213703534224182,0.0397131910353216,239.6885086845057,5.479340199884426,0.0831853620380136,-2.482287,3.026694,,46.9705416666667,292.6593541353928,5.679009318784899,float,True,10.0,3.0,95.663689,4.560839,-0.00526,64.094566,OVM,38.46895349525838,3.6498515132556,0.0717300976286856,,,,48.3696327209473,3.878872193689407,-0.1163227734592062,,,,45.3968290304711,3.815442257464208,-0.0999337772933102,45.3968290304711,3.815442257464208,-0.0999337772933102,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,19459.71728247986,3866.6975498354223,1634.26954560286,19459.71728247986,5500.967095438282,-13958.75018704158,27233.0,0.7145638483633776,0.6545532162037602,0.5125674801542827
HUN,1988,4.617127,0.003662,201400.484375,12.21305066430343,-0.0006528699207528,277.3760302424309,5.625374095504286,0.14603389561986,-1.919516,0.562771,,50.4132083333334,304.5932464323546,5.718977268292591,float,True,10.0,3.0,96.889831,4.573575,0.012736,61.222972,OVM,45.90848865846457,3.826650038060469,0.1767985248048682,,,,52.1775245666504,3.954651838312088,0.0757796446226808,,,,46.3341946693524,3.835880234275813,0.0204379768116051,46.3341946693524,3.835880234275813,0.0204379768116051,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,19484.405855007,3949.671836501367,1467.2287682846402,19484.405855007,5416.900604786008,-14067.50525022099,29800.0,0.6538391226512417,0.6046032579437034,0.4720639345711741
HUN,1989,4.616307,-0.00082,202883.65625,12.220387971805597,0.0073373075021674,324.94366937650545,5.783651842311857,0.1582777468075706,-1.933057,-0.013541,,59.0663416666667,319.2959861061793,5.766118528724651,float,True,10.0,3.0,96.723943,4.571861,-0.001714,59.427537,OVM,60.11110265391967,4.096194560817604,0.2695445227571351,,,,52.6692581176758,3.9640319479143376,0.0093801096022505,,,,46.8842777475828,3.847682389987717,0.0118021557119036,46.8842777475828,3.847682389987717,0.0118021557119036,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,20266.588559981672,4271.665707517305,1246.0013141640602,20438.4678135701,5517.667021681365,-14920.800791888734,30423.0,0.666160094664618,0.6252041957012001,0.4904447553459137
HUN,1990,4.614111,-0.002196,195789.5,12.18479538149148,-0.0355925903141152,417.1288771702252,6.033395232012398,0.2497433897005412,1.098033,3.03109,,63.2058666666667,336.5314349963951,5.818691562244357,float,True,10.0,3.0,96.096196,4.56535,-0.006511,51.620093,OVM,78.3433268084453,4.361100793616913,0.2649062327993094,,,,54.7923927307129,4.00355136553514,0.0395194176208013,,,,48.5817352928441,3.883247643249865,0.0355652532621477,48.5817352928441,3.883247643249865,0.0355652532621477,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,21066.297796562023,4795.293730840186,1069.01008663983,21574.04657532972,5864.303817480016,-15709.7427578497,34478.0,0.611006955060097,0.580001383778705,0.4556454190454696
HUN,1991,4.616231,0.00212,172506.140625,12.05818811264605,-0.1266072688454311,562.3628875564241,6.33214734891014,0.2987521168977415,1.156282,0.058249,,74.7353833333333,350.7834165506697,5.860168986149912,float,True,10.0,3.0,96.566453,4.570231,0.004882,58.2052641583218,OVM,119.81297858161058,4.785932015219257,0.4248312216023437,58.78089418145558,4.073816873216942,,60.2379264831543,4.098302161968851,0.0947507964337113,,,,53.8335459461203,3.985896803450337,0.1026491602004724,53.8335459461203,3.985896803450337,0.1026491602004724,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,22486.493349755045,4808.616273702129,3934.33030081964,24353.92530004362,8742.94657452177,-15610.978725521849,34867.0,0.6449219419438164,0.5320837195323775,0.4477293350595648
HUN,1992,4.61693,0.000699,167220.234375,12.027066991299764,-0.0311211213462847,695.3938333497118,6.544478351760085,0.212331002849945,0.905663,-0.250619,-0.010667,78.9883916666667,361.40802416024366,5.890007580900698,float,True,10.0,3.0,96.870802,4.573378,0.003147,55.2935236018396,OVM,151.98345581518524,5.023771671601263,0.2378396563820057,64.03578506473642,4.159442068734739,0.0856251955177969,67.3994674682617,4.2106371168226815,0.1123349548538303,63.0025900571958,4.143175837565438,,57.8878092462147,4.058506813985901,0.072610010535564,57.8878092462147,4.058506813985901,0.072610010535564,darvas65,2001.0,0,1,1,0,-1.9393721,0.0,21887.644186736405,5229.444482188965,4424.7227989605,25314.54616157933,9657.441107320014,-15657.105054259317,38857.0,0.5632870315962737,0.4494150703290502,0.4029416850055155
HUN,1993,4.61893,0.002,166256.859375,12.021289217065451,-0.0057777742343141,851.6088066932411,6.747127274315361,0.2026489225552766,-10.588386,-11.494048,0.093534,91.9331833333333,372.0755504709055,5.919096926316348,float,True,10.0,3.0,97.61714,4.581053,0.007675,53.4135360713045,OVM,210.4172350344555,5.349092393071659,0.3253207214703968,69.29841058133513,4.238421970598569,0.0789799018638302,77.176025390625,4.346088856864583,0.1354517400419013,67.2645520630302,4.208633382627891,0.0654575450624532,63.6071165070727,4.152725358851618,0.0942185448657166,63.6071165070727,4.152725358851618,0.0942185448657166,darvas65,2001.0,0,1,1,0,-1.2538762,0.16243199,24248.109991336754,4356.564656161053,6699.98917745811,29885.55261521074,11090.456313184935,-18795.09630202581,40256.0,0.6023477243475942,0.4359131760204354,0.4668893159287015
HUN,1994,4.618275,-0.000655,171156.703125,12.050334808397354,0.0290455913319025,1012.2909575965228,6.919971316031493,0.1728440417161321,-9.359875,1.228511,-0.076781,105.160458333333,381.7771936364118,5.944837175710791,intermediate,False,8.0,2.0,97.131424,4.576065,-0.004988,56.3059945915153,OVM,278.8353595812749,5.630621498610817,0.2815291055391578,69.12465000109307,4.235911396554354,-0.0025105740442148,83.5453872680664,4.425390044278135,0.0793011874135523,66.5690772632201,4.198240164366179,-0.0103932182617123,63.5846615474987,4.152372270622949,-0.0003530882286693,63.5846615474987,4.152372270622949,-0.0003530882286693,darvas65,2001.0,0,1,1,0,-1.2538762,0.16243199,28123.80352418709,3978.7696185684063,6735.46864028333,35626.61420493062,10899.705790626109,-24726.908414304515,43308.0,0.6493904942317145,0.4938656803339742,0.570954752339164
